expirationDate,daysToExpiration,bid,ask,strikePrice,totalVolume,volatility,delta,gamma,theta,vega,stock_price
2023-01-06,1,14.2,14.35,112.0,21,69.793,0.995,0.003,-0.034,0.001,126.36
2023-01-06,1,13.2,13.35,113.0,0,68.325,0.992,0.004,-0.044,0.002,126.36
2023-01-06,1,12.2,12.35,114.0,54,63.513,0.992,0.004,-0.044,0.002,126.36
2023-01-06,1,11.2,11.4,115.0,749,62.777,0.987,0.006,-0.062,0.003,126.36
2023-01-06,1,10.2,10.4,116.0,12,57.709,0.986,0.007,-0.061,0.003,126.36
2023-01-06,1,9.2,9.4,117.0,62,55.325,0.98,0.01,-0.076,0.004,126.36
2023-01-06,1,8.2,8.45,118.0,55,50.036,0.978,0.012,-0.074,0.004,126.36
2023-01-06,1,7.2,7.4,119.0,3,48.29,0.966,0.018,-0.099,0.006,126.36
2023-01-06,1,6.3,6.45,120.0,732,45.235,0.954,0.025,-0.12,0.008,126.36
2023-01-06,1,5.3,5.45,121.0,59,43.117,0.93,0.036,-0.155,0.011,126.36
2023-01-06,1,4.35,4.55,122.0,86,42.13,0.889,0.052,-0.21,0.016,126.36
2023-01-06,1,3.5,3.65,123.0,375,40.875,0.833,0.072,-0.268,0.021,126.36
2023-01-06,1,2.8,2.83,124.0,1126,40.686,0.75,0.091,-0.336,0.027,126.36
2023-01-06,1,2.1,2.12,125.0,10904,40.112,0.652,0.108,-0.384,0.032,126.36
2023-01-06,1,1.5,1.52,126.0,16348,39.676,0.539,0.117,-0.406,0.034,126.36
2023-01-06,1,1.01,1.02,127.0,51773,39.214,0.421,0.117,-0.395,0.033,126.36
2023-01-06,1,0.63,0.64,128.0,35441,38.212,0.306,0.107,-0.344,0.03,126.36
2023-01-06,1,0.36,0.38,129.0,11924,37.502,0.205,0.089,-0.273,0.024,126.36
2023-01-06,1,0.2,0.21,130.0,33169,37.453,0.129,0.066,-0.202,0.018,126.36
2023-01-06,1,0.11,0.12,131.0,8586,37.98,0.079,0.045,-0.143,0.013,126.36
2023-01-06,1,0.06,0.07,132.0,6788,38.846,0.048,0.03,-0.099,0.008,126.36
2023-01-06,1,0.04,0.05,133.0,6628,41.228,0.033,0.021,-0.077,0.006,126.36
2023-01-06,1,0.02,0.03,134.0,3547,41.988,0.019,0.013,-0.05,0.004,126.36
2023-01-06,1,0.02,0.03,135.0,6081,46.415,0.018,0.011,-0.052,0.004,126.36
2023-01-06,1,0.01,0.02,136.0,2214,47.37,0.011,0.007,-0.035,0.002,126.36
2023-01-06,1,0.01,0.02,137.0,949,51.407,0.01,0.006,-0.036,0.002,126.36
2023-01-06,1,0.01,0.02,138.0,4426,55.376,0.01,0.005,-0.036,0.002,126.36
