expirationDate,daysToExpiration,bid,ask,strikePrice,totalVolume,volatility,delta,gamma,theta,vega,stock_price
2023-01-06,1,0.0,0.02,139.0,532,56.51,0.006,0.004,-0.026,0.002,126.36
2023-01-06,1,0.0,0.01,140.0,2123,55.936,0.003,0.002,-0.015,0.001,126.36
2023-01-06,1,0.0,0.01,141.0,59,59.378,0.003,0.002,-0.015,0.001,126.36
2023-01-13,8,14.45,14.65,112.0,61,46.151,0.958,0.01,-0.057,0.017,126.36
2023-01-13,8,13.45,13.65,113.0,3,44.946,0.95,0.012,-0.062,0.02,126.36
2023-01-13,8,12.5,12.7,114.0,0,43.907,0.94,0.014,-0.069,0.023,126.36
2023-01-13,8,11.55,11.75,115.0,88,43.289,0.926,0.017,-0.079,0.027,126.36
2023-01-13,8,10.65,10.85,116.0,12,42.539,0.91,0.02,-0.088,0.032,126.36
2023-01-13,8,9.75,9.9,117.0,109,41.908,0.89,0.023,-0.099,0.037,126.36
2023-01-13,8,8.85,9.0,118.0,35,41.519,0.865,0.027,-0.111,0.042,126.36
2023-01-13,8,8.0,8.15,119.0,65,41.002,0.837,0.031,-0.123,0.048,126.36
2023-01-13,8,7.15,7.35,120.0,1908,40.512,0.805,0.035,-0.135,0.054,126.36
2023-01-13,8,6.45,6.55,121.0,305,40.143,0.769,0.039,-0.146,0.059,126.36
2023-01-13,8,5.7,5.8,122.0,315,39.801,0.728,0.043,-0.157,0.065,126.36
2023-01-13,8,5.0,5.1,123.0,262,39.495,0.683,0.046,-0.166,0.069,126.36
2023-01-13,8,4.35,4.4,124.0,402,39.105,0.635,0.049,-0.173,0.073,126.36
2023-01-13,8,3.75,3.8,125.0,1951,38.799,0.585,0.052,-0.177,0.076,126.36
2023-01-13,8,3.15,3.25,126.0,2253,38.409,0.532,0.053,-0.178,0.077,126.36
2023-01-13,8,2.68,2.69,127.0,3528,38.197,0.479,0.054,-0.177,0.078,126.36
2023-01-13,8,2.21,2.23,128.0,3855,37.722,0.425,0.053,-0.171,0.076,126.36
2023-01-13,8,1.8,1.81,129.0,3797,37.195,0.371,0.052,-0.162,0.074,126.36
2023-01-13,8,1.44,1.45,130.0,12431,36.836,0.32,0.05,-0.152,0.07,126.36
2023-01-13,8,1.14,1.15,131.0,1460,36.317,0.27,0.047,-0.138,0.064,126.36
2023-01-13,8,0.89,0.9,132.0,2126,35.985,0.225,0.043,-0.124,0.058,126.36
2023-01-13,8,0.68,0.69,133.0,2074,35.784,0.185,0.038,-0.109,0.052,126.36
2023-01-13,8,0.52,0.53,134.0,1677,35.646,0.15,0.034,-0.095,0.045,126.36
2023-01-13,8,0.39,0.4,135.0,3772,35.468,0.119,0.029,-0.081,0.039,126.36
2023-01-13,8,0.3,0.31,136.0,1577,35.67,0.096,0.024,-0.069,0.033,126.36
2023-01-13,8,0.23,0.24,137.0,1063,35.552,0.074,0.02,-0.057,0.027,126.36
2023-01-13,8,0.17,0.18,138.0,1027,35.939,0.059,0.017,-0.048,0.023,126.36
2023-01-13,8,0.13,0.14,139.0,545,36.285,0.047,0.014,-0.041,0.019,126.36
2023-01-13,8,0.11,0.12,140.0,1248,36.703,0.038,0.011,-0.034,0.016,126.36
2023-01-13,8,0.08,0.09,141.0,340,37.375,0.031,0.01,-0.029,0.013,126.36
2023-01-20,15,36.35,36.7,90.0,6,69.218,0.992,0.001,-0.02,0.005,126.36
2023-01-20,15,31.4,31.65,95.0,0,62.224,0.988,0.002,-0.024,0.008,126.36
2023-01-20,15,26.4,26.65,100.0,81,56.136,0.981,0.003,-0.031,0.012,126.36
2023-01-20,15,21.45,21.7,105.0,25,49.106,0.97,0.005,-0.038,0.018,126.36
2023-01-20,15,16.65,16.85,110.0,72,43.745,0.943,0.01,-0.052,0.03,126.36
2023-01-20,15,12.0,12.2,115.0,145,40.06,0.882,0.019,-0.076,0.052,126.36
2023-01-20,15,9.45,9.6,118.0,203,38.544,0.818,0.026,-0.094,0.069,126.36
2023-01-20,15,8.7,8.75,119.0,148,38.03,0.791,0.029,-0.1,0.075,126.36
2023-01-20,15,7.9,7.95,120.0,1102,37.687,0.762,0.031,-0.106,0.081,126.36
2023-01-20,15,7.15,7.2,121.0,335,37.279,0.729,0.034,-0.112,0.087,126.36
2023-01-20,15,6.45,6.5,122.0,479,36.897,0.695,0.036,-0.116,0.092,126.36
2023-01-20,15,5.75,5.8,123.0,428,36.513,0.657,0.038,-0.12,0.096,126.36
2023-01-20,15,5.1,5.15,124.0,264,36.105,0.618,0.04,-0.122,0.1,126.36
2023-01-20,15,4.5,4.55,125.0,2342,35.8,0.577,0.042,-0.124,0.102,126.36
2023-01-20,15,3.9,4.0,126.0,858,35.336,0.535,0.043,-0.124,0.104,126.36
2023-01-20,15,3.4,3.45,127.0,1247,35.217,0.492,0.043,-0.123,0.104,126.36
2023-01-20,15,2.93,2.94,128.0,1543,34.644,0.448,0.044,-0.12,0.103,126.36
2023-01-20,15,2.48,2.5,129.0,1537,34.227,0.404,0.043,-0.116,0.101,126.36
2023-01-20,15,2.09,2.1,130.0,4066,33.773,0.36,0.042,-0.11,0.098,126.36
2023-01-20,15,1.74,1.75,131.0,1132,33.389,0.318,0.041,-0.103,0.093,126.36
2023-01-20,15,1.43,1.44,132.0,2791,33.043,0.277,0.039,-0.096,0.088,126.36
2023-01-20,15,1.17,1.18,133.0,1633,32.702,0.239,0.036,-0.088,0.081,126.36
2023-01-20,15,0.95,0.96,134.0,1232,32.467,0.204,0.033,-0.079,0.074,126.36
2023-01-20,15,0.77,0.78,135.0,6349,32.338,0.174,0.03,-0.071,0.067,126.36
2023-01-20,15,0.62,0.63,136.0,582,32.236,0.146,0.027,-0.063,0.06,126.36
2023-01-20,15,0.49,0.5,137.0,885,32.232,0.122,0.024,-0.056,0.053,126.36
2023-01-20,15,0.4,0.41,138.0,1060,32.217,0.101,0.021,-0.049,0.046,126.36
2023-01-20,15,0.32,0.33,139.0,451,32.503,0.086,0.018,-0.043,0.041,126.36
2023-01-20,15,0.26,0.27,140.0,4061,32.734,0.072,0.016,-0.038,0.036,126.36
2023-01-20,15,0.21,0.22,141.0,1130,32.946,0.06,0.014,-0.033,0.031,126.36
2023-01-27,22,16.85,17.35,110.0,15,42.707,0.915,0.012,-0.057,0.049,126.36
2023-01-27,22,14.25,14.45,113.0,0,40.915,0.878,0.016,-0.068,0.064,126.36
2023-01-27,22,13.4,13.6,114.0,18,40.434,0.862,0.017,-0.072,0.069,126.36
2023-01-27,22,12.55,12.7,115.0,12,39.882,0.845,0.019,-0.076,0.075,126.36
2023-01-27,22,11.65,11.95,116.0,0,39.441,0.826,0.021,-0.081,0.081,126.36
2023-01-27,22,10.85,11.05,117.0,0,39.011,0.805,0.022,-0.085,0.087,126.36
2023-01-27,22,10.05,10.25,118.0,0,38.572,0.782,0.024,-0.089,0.093,126.36
2023-01-27,22,9.3,9.45,119.0,7,38.158,0.757,0.026,-0.092,0.098,126.36
2023-01-27,22,8.55,8.75,120.0,10,37.797,0.731,0.028,-0.096,0.104,126.36
2023-01-27,22,7.8,8.0,121.0,6,37.374,0.702,0.029,-0.099,0.109,126.36
2023-01-27,22,6.95,7.4,122.0,0,36.968,0.673,0.031,-0.101,0.114,126.36
2023-01-27,22,6.45,6.6,123.0,104,36.648,0.641,0.032,-0.103,0.118,126.36
2023-01-27,22,5.8,6.0,124.0,18,36.23,0.608,0.034,-0.105,0.121,126.36
2023-01-27,22,5.2,5.35,125.0,2019,35.871,0.574,0.035,-0.105,0.123,126.36
2023-01-27,22,4.7,4.8,126.0,199,35.438,0.539,0.036,-0.105,0.125,126.36
2023-01-27,22,4.15,4.25,127.0,614,35.001,0.503,0.036,-0.104,0.125,126.36
2023-01-27,22,3.65,3.75,128.0,427,34.593,0.466,0.037,-0.102,0.125,126.36
2023-01-27,22,3.2,3.3,129.0,761,34.295,0.43,0.036,-0.099,0.124,126.36
2023-01-27,22,2.8,2.83,130.0,929,33.783,0.392,0.036,-0.095,0.121,126.36
2023-01-27,22,2.41,2.45,131.0,553,33.422,0.356,0.035,-0.091,0.117,126.36
2023-01-27,22,2.06,2.1,132.0,1494,33.054,0.32,0.034,-0.086,0.113,126.36
2023-01-27,22,1.75,1.79,133.0,443,32.731,0.286,0.033,-0.081,0.107,126.36
2023-01-27,22,1.48,1.51,134.0,352,32.473,0.254,0.031,-0.076,0.101,126.36
2023-01-27,22,1.24,1.27,135.0,2370,32.203,0.223,0.029,-0.07,0.094,126.36
2023-01-27,22,1.04,1.07,136.0,592,32.055,0.196,0.027,-0.064,0.087,126.36
2023-01-27,22,0.87,0.89,137.0,302,31.898,0.17,0.025,-0.058,0.08,126.36
2023-01-27,22,0.72,0.74,138.0,1845,31.76,0.147,0.023,-0.053,0.072,126.36
2023-01-27,22,0.6,0.62,139.0,347,31.756,0.127,0.021,-0.048,0.065,126.36
2023-01-27,22,0.5,0.52,140.0,969,31.799,0.109,0.019,-0.043,0.059,126.36
2023-01-27,22,0.41,0.43,141.0,66,31.753,0.093,0.017,-0.038,0.052,126.36
2023-02-03,29,17.65,17.9,110.0,0,46.706,0.87,0.013,-0.07,0.076,126.36
2023-02-03,29,15.15,15.35,113.0,0,45.396,0.829,0.016,-0.08,0.091,126.36
2023-02-03,29,14.35,14.55,114.0,0,45.034,0.812,0.017,-0.083,0.097,126.36
2023-02-03,29,13.5,13.7,115.0,6,44.609,0.795,0.018,-0.086,0.102,126.36
2023-02-03,29,12.75,12.95,116.0,0,44.215,0.777,0.019,-0.09,0.107,126.36
2023-02-03,29,11.95,12.15,117.0,3,43.84,0.758,0.02,-0.092,0.112,126.36
2023-02-03,29,11.25,11.4,118.0,2,43.47,0.738,0.021,-0.095,0.117,126.36
2023-02-03,29,10.5,10.7,119.0,0,43.058,0.716,0.022,-0.097,0.122,126.36
2023-02-03,29,9.8,10.0,120.0,43,42.639,0.694,0.023,-0.099,0.126,126.36
2023-02-03,29,9.15,9.3,121.0,0,42.359,0.671,0.024,-0.101,0.13,126.36
2023-02-03,29,8.5,8.65,122.0,0,41.902,0.647,0.025,-0.103,0.134,126.36
2023-02-03,29,7.85,8.0,123.0,0,41.456,0.622,0.025,-0.104,0.137,126.36
2023-02-03,29,7.25,7.4,124.0,3,41.193,0.596,0.026,-0.104,0.139,126.36
2023-02-03,29,6.65,6.8,125.0,248,40.922,0.569,0.027,-0.105,0.141,126.36
2023-02-03,29,6.1,6.2,126.0,143,40.465,0.542,0.027,-0.104,0.143,126.36
2023-02-03,29,5.55,5.7,127.0,168,40.14,0.515,0.028,-0.104,0.143,126.36
2023-02-03,29,5.05,5.15,128.0,113,39.646,0.487,0.028,-0.102,0.143,126.36
2023-02-03,29,4.55,4.7,129.0,253,39.309,0.459,0.028,-0.101,0.143,126.36
2023-02-03,29,4.1,4.2,130.0,376,38.777,0.43,0.028,-0.098,0.141,126.36
2023-02-03,29,3.7,3.8,131.0,70,38.579,0.402,0.028,-0.096,0.139,126.36
2023-02-03,29,3.3,3.4,132.0,106,38.185,0.374,0.028,-0.093,0.136,126.36
2023-02-03,29,2.94,3.05,133.0,61,37.922,0.347,0.027,-0.09,0.133,126.36
2023-02-03,29,2.6,2.66,134.0,65,37.376,0.319,0.027,-0.085,0.128,126.36
2023-02-03,29,2.29,2.35,135.0,343,37.045,0.292,0.026,-0.081,0.124,126.36
2023-02-03,29,2.02,2.07,136.0,11,36.791,0.267,0.025,-0.077,0.118,126.36
2023-02-03,29,1.76,1.81,137.0,103,36.457,0.242,0.024,-0.072,0.112,126.36
2023-02-03,29,1.55,1.58,138.0,16,36.273,0.22,0.023,-0.068,0.106,126.36
2023-02-03,29,1.34,1.37,139.0,30,35.977,0.197,0.021,-0.063,0.1,126.36
2023-02-03,29,1.16,1.2,140.0,504,35.826,0.177,0.02,-0.059,0.094,126.36
2023-02-03,29,1.01,1.05,141.0,92,35.753,0.159,0.019,-0.055,0.087,126.36
2023-02-10,36,17.95,18.3,110.0,0,45.295,0.853,0.013,-0.064,0.091,126.36
2023-02-10,36,15.35,15.75,113.0,0,44.068,0.812,0.015,-0.072,0.107,126.36
2023-02-10,36,14.75,15.0,114.0,0,43.709,0.796,0.016,-0.075,0.113,126.36
2023-02-10,36,13.85,14.35,115.0,1,43.344,0.779,0.017,-0.077,0.118,126.36
2023-02-10,36,13.15,13.4,116.0,0,42.926,0.762,0.018,-0.079,0.123,126.36
2023-02-10,36,12.0,12.95,117.0,0,42.571,0.744,0.019,-0.082,0.128,126.36
2023-02-10,36,11.2,12.15,118.0,0,42.304,0.724,0.02,-0.084,0.133,126.36
2023-02-10,36,10.5,11.3,119.0,0,41.892,0.704,0.021,-0.086,0.138,126.36
2023-02-10,36,10.25,10.6,120.0,1,41.694,0.682,0.021,-0.087,0.142,126.36
2023-02-10,36,9.55,10.2,121.0,0,41.174,0.661,0.022,-0.088,0.146,126.36
2023-02-10,36,8.8,9.2,122.0,0,40.853,0.638,0.023,-0.09,0.15,126.36
2023-02-10,36,8.3,8.5,123.0,0,40.547,0.615,0.024,-0.09,0.153,126.36
2023-02-10,36,7.65,7.85,124.0,2,40.092,0.591,0.024,-0.091,0.155,126.36
2023-02-10,36,6.9,7.35,125.0,14,39.808,0.567,0.025,-0.091,0.157,126.36
2023-02-10,36,6.55,6.7,126.0,105,39.369,0.542,0.025,-0.091,0.159,126.36
2023-02-10,36,6.0,6.15,127.0,80,39.023,0.516,0.025,-0.09,0.159,126.36
2023-02-10,36,5.5,5.65,128.0,2,38.728,0.491,0.026,-0.089,0.159,126.36
2023-02-10,36,5.0,5.15,129.0,12,38.274,0.464,0.026,-0.088,0.159,126.36
2023-02-10,36,4.55,4.7,130.0,156,37.816,0.438,0.026,-0.086,0.158,126.36
2023-02-10,36,4.1,4.25,131.0,2,37.513,0.412,0.026,-0.084,0.156,126.36
2023-02-10,36,3.7,3.85,132.0,52,37.206,0.386,0.026,-0.082,0.153,126.36
2023-02-10,36,3.3,3.45,133.0,100,36.731,0.359,0.025,-0.079,0.149,126.36
2023-02-10,36,2.97,3.1,134.0,6,36.487,0.334,0.025,-0.076,0.146,126.36
2023-02-10,36,2.64,2.76,135.0,943,36.108,0.309,0.024,-0.073,0.141,126.36
2023-02-10,36,2.35,2.46,136.0,11,35.84,0.285,0.024,-0.069,0.136,126.36
2023-02-10,36,2.08,2.18,137.0,7,35.547,0.261,0.023,-0.066,0.13,126.36
2023-02-10,36,1.84,1.94,138.0,15,35.354,0.24,0.022,-0.062,0.124,126.36
2023-02-10,36,1.61,1.71,139.0,38,35.07,0.218,0.021,-0.059,0.118,126.36
2023-02-10,36,1.43,1.51,140.0,90,34.958,0.199,0.02,-0.055,0.111,126.36
2023-02-10,36,0.72,0.79,145.0,71,34.307,0.118,0.014,-0.038,0.079,126.36
2023-02-17,43,71.4,71.75,55.0,0,88.746,0.996,0.0,-0.004,0.003,126.36
2023-02-17,43,66.4,66.8,60.0,0,85.197,0.995,0.0,-0.007,0.005,126.36
2023-02-17,43,61.45,61.8,65.0,0,78.486,0.993,0.0,-0.008,0.006,126.36
2023-02-17,43,56.5,56.8,70.0,0,73.151,0.991,0.001,-0.01,0.008,126.36
2023-02-17,43,51.55,51.9,75.0,0,68.338,0.988,0.001,-0.013,0.011,126.36
2023-02-17,43,46.6,46.9,80.0,0,63.618,0.984,0.001,-0.016,0.015,126.36
2023-02-17,43,41.7,42.0,85.0,0,59.291,0.978,0.002,-0.019,0.021,126.36
2023-02-17,43,36.85,37.15,90.0,0,55.272,0.969,0.003,-0.024,0.029,126.36
2023-02-17,43,31.95,32.25,95.0,0,52.099,0.953,0.004,-0.031,0.042,126.36
2023-02-17,43,27.25,27.6,100.0,60,49.166,0.929,0.006,-0.039,0.058,126.36
2023-02-17,43,22.7,22.9,105.0,41,46.735,0.892,0.009,-0.049,0.08,126.36
2023-02-17,43,18.4,18.55,110.0,16,44.708,0.838,0.012,-0.061,0.106,126.36
2023-02-17,43,14.35,14.5,115.0,11,42.912,0.766,0.016,-0.072,0.133,126.36
2023-02-17,43,10.8,10.9,120.0,126,41.217,0.674,0.02,-0.08,0.157,126.36
2023-02-17,43,7.7,7.75,125.0,2025,39.404,0.566,0.023,-0.082,0.171,126.36
2023-02-17,43,5.1,5.15,130.0,2764,37.59,0.448,0.024,-0.078,0.172,126.36
2023-02-17,43,3.1,3.15,135.0,1259,35.727,0.326,0.023,-0.067,0.157,126.36
2023-02-17,43,1.79,1.81,140.0,1127,34.586,0.22,0.02,-0.053,0.129,126.36
2023-02-17,43,0.98,0.99,145.0,1632,33.894,0.138,0.015,-0.039,0.096,126.36
2023-02-17,43,0.53,0.54,150.0,883,33.783,0.083,0.01,-0.027,0.067,126.36
2023-02-17,43,0.29,0.3,155.0,673,34.085,0.05,0.007,-0.018,0.045,126.36
2023-02-17,43,0.17,0.18,160.0,220,34.92,0.031,0.005,-0.012,0.03,126.36
2023-02-17,43,0.11,0.12,165.0,70,36.24,0.021,0.003,-0.009,0.022,126.36
2023-02-17,43,0.07,0.08,170.0,1293,37.377,0.014,0.002,-0.007,0.015,126.36
2023-02-17,43,0.05,0.06,175.0,45,38.948,0.01,0.002,-0.005,0.012,126.36
2023-02-17,43,0.04,0.05,180.0,11,40.876,0.008,0.001,-0.005,0.01,126.36
2023-02-17,43,0.03,0.04,185.0,146,42.417,0.006,0.001,-0.004,0.008,126.36
2023-02-17,43,0.02,0.03,190.0,0,43.45,0.004,0.001,-0.003,0.006,126.36
2023-02-17,43,0.02,0.03,195.0,1,45.888,0.004,0.001,-0.003,0.005,126.36
2023-02-17,43,0.01,0.02,200.0,34,45.936,0.003,0.0,-0.002,0.004,126.36
2023-02-24,50,13.7,15.55,115.0,0,40.77,0.763,0.016,-0.065,0.144,126.36
2023-02-24,50,13.55,14.25,116.0,0,40.417,0.747,0.017,-0.066,0.15,126.36
2023-02-24,50,12.8,13.95,117.0,0,39.929,0.73,0.018,-0.068,0.155,126.36
2023-02-24,50,11.9,13.45,118.0,0,39.907,0.711,0.018,-0.069,0.16,126.36
2023-02-24,50,11.05,12.2,119.0,0,39.456,0.693,0.019,-0.07,0.165,126.36
2023-02-24,50,10.45,11.55,120.0,1,39.937,0.671,0.019,-0.073,0.169,126.36
2023-02-24,50,10.25,10.65,121.0,0,39.551,0.652,0.02,-0.074,0.173,126.36
2023-02-24,50,9.55,10.05,122.0,1,39.058,0.632,0.02,-0.074,0.177,126.36
2023-02-24,50,9.05,9.4,123.0,0,38.739,0.611,0.021,-0.074,0.18,126.36
2023-02-24,50,7.95,8.75,124.0,0,37.759,0.59,0.022,-0.074,0.182,126.36
2023-02-24,50,7.7,8.15,125.0,10,37.492,0.568,0.022,-0.074,0.184,126.36
2023-02-24,50,7.1,7.55,126.0,24,37.107,0.546,0.023,-0.073,0.186,126.36
2023-02-24,50,6.75,7.05,127.0,25,37.256,0.523,0.023,-0.074,0.187,126.36
2023-02-24,50,6.2,6.55,128.0,6,36.88,0.5,0.023,-0.073,0.187,126.36
2023-02-24,50,5.7,6.15,129.0,12,36.786,0.477,0.023,-0.073,0.187,126.36
2023-02-24,50,5.25,5.6,130.0,2,36.305,0.454,0.023,-0.071,0.186,126.36
2023-02-24,50,4.8,5.2,131.0,0,36.105,0.431,0.023,-0.07,0.184,126.36
2023-02-24,50,4.4,4.75,132.0,1,35.784,0.407,0.023,-0.068,0.182,126.36
2023-02-24,50,4.0,4.3,133.0,0,35.336,0.384,0.023,-0.066,0.179,126.36
2023-02-24,50,3.6,4.0,134.0,41,35.182,0.361,0.023,-0.065,0.176,126.36
2023-02-24,50,3.2,3.6,135.0,50,34.613,0.337,0.022,-0.062,0.172,126.36
2023-02-24,50,2.86,3.3,136.0,0,34.376,0.315,0.022,-0.06,0.167,126.36
2023-02-24,50,2.65,3.0,137.0,0,34.409,0.295,0.021,-0.058,0.162,126.36
2023-02-24,50,2.37,2.74,138.0,2,34.234,0.275,0.021,-0.056,0.157,126.36
2023-02-24,50,2.12,2.43,139.0,0,33.898,0.254,0.02,-0.053,0.15,126.36
2023-02-24,50,1.9,2.1,140.0,58,33.384,0.232,0.019,-0.05,0.143,126.36
2023-03-17,71,66.5,66.85,60.0,0,70.862,0.992,0.0,-0.007,0.009,126.36
2023-03-17,71,61.55,61.95,65.0,2,67.078,0.989,0.001,-0.009,0.012,126.36
2023-03-17,71,56.65,57.05,70.0,5,62.651,0.986,0.001,-0.011,0.016,126.36
2023-03-17,71,51.8,52.15,75.0,1,59.1,0.981,0.001,-0.014,0.022,126.36
2023-03-17,71,46.9,47.2,80.0,0,55.609,0.975,0.002,-0.017,0.03,126.36
2023-03-17,71,42.05,42.35,85.0,0,52.513,0.965,0.002,-0.021,0.04,126.36
2023-03-17,71,37.25,37.65,90.0,6,49.671,0.951,0.003,-0.025,0.054,126.36
2023-03-17,71,32.6,32.9,95.0,0,47.2,0.93,0.005,-0.031,0.073,126.36
2023-03-17,71,28.1,28.25,100.0,32,45.002,0.902,0.007,-0.037,0.095,126.36
2023-03-17,71,23.65,23.9,105.0,10,42.972,0.862,0.009,-0.044,0.122,126.36
2023-03-17,71,19.55,19.7,110.0,47,41.211,0.81,0.012,-0.05,0.151,126.36
2023-03-17,71,15.65,15.85,115.0,23,39.55,0.744,0.014,-0.056,0.179,126.36
2023-03-17,71,12.2,12.35,120.0,65,38.032,0.664,0.017,-0.06,0.203,126.36
2023-03-17,71,9.1,9.25,125.0,253,36.449,0.572,0.019,-0.061,0.219,126.36
2023-03-17,71,6.5,6.6,130.0,1647,35.074,0.473,0.02,-0.059,0.222,126.36
2023-03-17,71,4.4,4.45,135.0,620,33.6,0.37,0.02,-0.053,0.211,126.36
2023-03-17,71,2.84,2.86,140.0,2184,32.455,0.274,0.018,-0.045,0.186,126.36
2023-03-17,71,1.74,1.76,145.0,738,31.557,0.192,0.015,-0.036,0.152,126.36
2023-03-17,71,1.05,1.06,150.0,4983,31.099,0.129,0.012,-0.027,0.117,126.36
2023-03-17,71,0.63,0.64,155.0,1009,30.994,0.084,0.009,-0.02,0.087,126.36
2023-03-17,71,0.39,0.4,160.0,201,31.287,0.056,0.006,-0.014,0.063,126.36
2023-03-17,71,0.25,0.26,165.0,321,31.835,0.038,0.005,-0.011,0.046,126.36
2023-03-17,71,0.17,0.18,170.0,73,32.668,0.026,0.003,-0.008,0.034,126.36
2023-03-17,71,0.11,0.12,175.0,1594,33.218,0.018,0.002,-0.006,0.025,126.36
2023-03-17,71,0.08,0.09,180.0,36,34.243,0.013,0.002,-0.005,0.019,126.36
2023-03-17,71,0.05,0.07,185.0,15,34.977,0.01,0.001,-0.004,0.014,126.36
2023-03-17,71,0.05,0.06,190.0,88,36.724,0.008,0.001,-0.003,0.013,126.36
2023-03-17,71,0.03,0.06,195.0,0,37.89,0.007,0.001,-0.003,0.011,126.36
2023-03-17,71,0.03,0.05,200.0,6,39.317,0.006,0.001,-0.003,0.009,126.36
2023-03-17,71,0.01,0.03,210.0,19,40.091,0.003,0.0,-0.002,0.005,126.36
2023-04-21,106,76.45,77.2,50.0,0,70.227,0.993,0.0,-0.005,0.008,126.36
2023-04-21,106,66.7,67.35,60.0,0,62.975,0.988,0.001,-0.008,0.016,126.36
2023-04-21,106,61.75,62.5,65.0,0,59.689,0.985,0.001,-0.01,0.021,126.36
2023-04-21,106,57.0,57.7,70.0,0,56.612,0.98,0.001,-0.013,0.029,126.36
2023-04-21,106,52.1,52.85,75.0,0,53.667,0.973,0.002,-0.015,0.038,126.36
2023-04-21,106,47.45,48.0,80.0,0,50.982,0.963,0.002,-0.018,0.051,126.36
2023-04-21,106,42.65,43.25,85.0,1,48.594,0.95,0.003,-0.021,0.066,126.36
2023-04-21,106,38.0,38.6,90.0,0,46.363,0.933,0.004,-0.025,0.086,126.36
2023-04-21,106,33.55,34.0,95.0,11,44.409,0.908,0.005,-0.03,0.109,126.36
2023-04-21,106,29.1,29.45,100.0,15,42.552,0.878,0.007,-0.035,0.136,126.36
2023-04-21,106,24.95,25.45,105.0,0,40.836,0.838,0.009,-0.039,0.165,126.36
2023-04-21,106,20.95,21.2,110.0,19,39.227,0.788,0.011,-0.043,0.196,126.36
2023-04-21,106,17.15,17.5,115.0,9,37.802,0.728,0.013,-0.047,0.225,126.36
2023-04-21,106,13.85,14.0,120.0,75,36.337,0.658,0.015,-0.049,0.249,126.36
2023-04-21,106,10.8,10.95,125.0,232,35.045,0.58,0.016,-0.05,0.266,126.36
2023-04-21,106,8.15,8.25,130.0,1460,34.032,0.496,0.017,-0.049,0.271,126.36
2023-04-21,106,5.95,6.0,135.0,1796,32.791,0.409,0.017,-0.045,0.265,126.36
2023-04-21,106,4.15,4.25,140.0,2129,31.716,0.324,0.017,-0.04,0.245,126.36
2023-04-21,106,2.86,2.89,145.0,332,30.927,0.248,0.015,-0.034,0.216,126.36
2023-04-21,106,1.9,1.93,150.0,343,30.316,0.183,0.013,-0.028,0.181,126.36
2023-04-21,106,1.25,1.27,155.0,419,29.952,0.131,0.01,-0.022,0.145,126.36
2023-04-21,106,0.82,0.84,160.0,251,29.83,0.093,0.008,-0.017,0.114,126.36
