expirationDate,daysToExpiration,bid,ask,strikePrice,totalVolume,volatility,delta,gamma,theta,vega,stock_price
2022-12-30,2,14.0,14.35,116.0,142,NaN,NaN,NaN,NaN,0.005,130.03
2022-12-30,2,13.0,13.4,117.0,3,48.748,0.986,0.006,-0.046,0.005,130.03
2022-12-30,2,12.0,12.3,118.0,2,46.556,0.983,0.007,-0.051,0.006,130.03
2022-12-30,2,11.1,11.45,119.0,54,44.121,0.979,0.009,-0.055,0.007,130.03
2022-12-30,2,10.05,10.35,120.0,110,43.108,0.971,0.012,-0.067,0.009,130.03
2022-12-30,2,9.1,9.45,121.0,6,41.361,0.961,0.016,-0.077,0.011,130.03
2022-12-30,2,8.15,8.5,122.0,168,39.831,0.948,0.02,-0.09,0.014,130.03
2022-12-30,2,7.2,7.55,123.0,111,38.228,0.931,0.027,-0.105,0.017,130.03
2022-12-30,2,6.25,6.55,124.0,307,36.855,0.906,0.035,-0.124,0.022,130.03
2022-12-30,2,5.3,5.55,125.0,1961,35.912,0.87,0.045,-0.149,0.028,130.03
2022-12-30,2,4.45,4.65,126.0,561,35.648,0.819,0.057,-0.18,0.034,130.03
2022-12-30,2,3.7,3.85,127.0,820,34.852,0.76,0.068,-0.205,0.041,130.03
2022-12-30,2,3.0,3.1,128.0,2163,34.123,0.688,0.079,-0.225,0.046,130.03
2022-12-30,2,2.35,2.41,129.0,9989,33.727,0.605,0.088,-0.24,0.05,130.03
2022-12-30,2,1.82,1.84,130.0,35524,33.062,0.515,0.092,-0.242,0.052,130.03
2022-12-30,2,1.31,1.34,131.0,21737,33.332,0.424,0.09,-0.239,0.051,130.03
2022-12-30,2,0.92,0.94,132.0,25873,32.549,0.334,0.086,-0.216,0.047,130.03
2022-12-30,2,0.61,0.63,133.0,26217,32.117,0.252,0.076,-0.186,0.042,130.03
2022-12-30,2,0.39,0.42,134.0,14987,31.886,0.182,0.063,-0.152,0.034,130.03
2022-12-30,2,0.25,0.26,135.0,23984,31.726,0.126,0.05,-0.118,0.027,130.03
2022-12-30,2,0.16,0.17,136.0,9242,32.124,0.087,0.038,-0.091,0.021,130.03
2022-12-30,2,0.09,0.11,137.0,7031,32.206,0.057,0.027,-0.066,0.015,130.03
2022-12-30,2,0.06,0.07,138.0,8114,32.888,0.038,0.019,-0.049,0.011,130.03
2022-12-30,2,0.04,0.05,139.0,4221,33.939,0.027,0.014,-0.038,0.008,130.03
2022-12-30,2,0.03,0.04,140.0,8212,35.556,0.021,0.011,-0.032,0.007,130.03
2022-12-30,2,0.02,0.03,141.0,1138,36.636,0.015,0.008,-0.025,0.005,130.03
2022-12-30,2,0.01,0.02,142.0,5353,36.937,0.01,0.005,-0.017,0.003,130.03
2022-12-30,2,0.01,0.02,143.0,680,36.939,0.006,0.003,-0.011,0.002,130.03
2022-12-30,2,0.01,0.02,144.0,636,36.933,0.003,0.002,-0.006,0.001,130.03
2022-12-30,2,0.01,0.02,145.0,2743,36.926,0.002,0.001,-0.004,0.001,130.03
2023-01-06,9,30.05,30.45,100.0,0,63.405,0.994,0.001,-0.027,0.004,130.03
2023-01-06,9,25.05,25.4,105.0,2,55.626,0.99,0.002,-0.032,0.006,130.03
2023-01-06,9,20.1,20.5,110.0,2,49.332,0.98,0.004,-0.042,0.011,130.03
2023-01-06,9,15.2,15.6,115.0,163,44.337,0.954,0.01,-0.062,0.022,130.03
2023-01-06,9,10.55,10.9,120.0,172,39.961,0.891,0.021,-0.094,0.042,130.03
2023-01-06,9,9.65,10.0,121.0,207,39.116,0.872,0.024,-0.101,0.047,130.03
2023-01-06,9,8.8,9.1,122.0,48,38.598,0.847,0.028,-0.11,0.053,130.03
2023-01-06,9,7.95,8.15,123.0,75,38.083,0.819,0.031,-0.119,0.059,130.03
2023-01-06,9,7.15,7.35,124.0,68,37.44,0.788,0.035,-0.127,0.064,130.03
2023-01-06,9,6.4,6.55,125.0,401,36.862,0.753,0.039,-0.135,0.07,130.03
