expirationDate,daysToExpiration,bid,ask,strikePrice,totalVolume,volatility,delta,gamma,theta,vega,stock_price
2022-12-30,1,13.95,14.2,116.0,24,61.935,0.997,0.002,-0.016,0.001,126.04
2022-12-30,1,13.0,13.15,117.0,13,57.716,0.997,0.002,-0.016,0.001,126.04
2022-12-30,1,11.95,12.15,118.0,9,57.692,0.994,0.003,-0.027,0.002,126.04
2022-12-30,1,10.95,11.15,119.0,7,55.898,0.991,0.005,-0.037,0.002,126.04
2022-12-30,1,10.0,10.15,120.0,1146,51.247,0.99,0.006,-0.037,0.002,126.04
2022-12-30,1,8.95,9.15,121.0,74,46.591,0.989,0.007,-0.036,0.002,126.04
2022-12-30,1,8.0,8.2,122.0,79,47.403,0.978,0.013,-0.068,0.005,126.04
2022-12-30,1,6.95,7.15,123.0,80,44.057,0.97,0.017,-0.08,0.006,126.04
2022-12-30,1,6.05,6.2,124.0,233,40.13,0.961,0.024,-0.09,0.007,126.04
2022-12-30,1,5.1,5.2,125.0,1016,37.786,0.941,0.035,-0.119,0.01,126.04
2022-12-30,1,4.1,4.25,126.0,2105,34.847,0.912,0.052,-0.148,0.014,126.04
2022-12-30,1,3.2,3.35,127.0,4695,33.224,0.858,0.077,-0.198,0.02,126.04
2022-12-30,1,2.43,2.46,128.0,19186,31.261,0.778,0.108,-0.246,0.026,126.04
2022-12-30,1,1.68,1.7,129.0,42094,30.075,0.66,0.138,-0.291,0.032,126.04
2022-12-30,1,1.06,1.07,130.0,105319,28.943,0.514,0.156,-0.305,0.035,126.04
2022-12-30,1,0.6,0.61,131.0,35054,28.456,0.359,0.149,-0.28,0.033,126.04
2022-12-30,1,0.31,0.32,132.0,67077,28.177,0.222,0.12,-0.221,0.026,126.04
2022-12-30,1,0.14,0.15,133.0,25786,27.889,0.121,0.082,-0.148,0.018,126.04
2022-12-30,1,0.06,0.07,134.0,8132,28.255,0.061,0.048,-0.09,0.011,126.04
2022-12-30,1,0.03,0.04,135.0,12404,29.93,0.034,0.029,-0.059,0.007,126.04
2022-12-30,1,0.02,0.03,136.0,3230,32.885,0.023,0.019,-0.048,0.005,126.04
2022-12-30,1,0.01,0.02,137.0,2131,34.72,0.014,0.012,-0.033,0.003,126.04
2022-12-30,1,0.01,0.02,138.0,2851,38.866,0.013,0.01,-0.034,0.003,126.04
2022-12-30,1,0.0,0.01,139.0,2255,37.688,0.005,0.004,-0.014,0.001,126.04
2022-12-30,1,0.0,0.01,140.0,2216,41.284,0.004,0.004,-0.014,0.001,126.04
2022-12-30,1,0.0,0.01,141.0,210,44.823,0.004,0.003,-0.014,0.001,126.04
2022-12-30,1,0.0,0.01,142.0,370,48.308,0.004,0.003,-0.015,0.001,126.04
2022-12-30,1,0.0,0.01,143.0,173,51.743,0.004,0.002,-0.015,0.001,126.04
2022-12-30,1,0.0,0.01,144.0,24,55.13,0.003,0.002,-0.015,0.001,126.04
2022-12-30,1,0.0,0.01,145.0,258,58.474,0.003,0.002,-0.015,0.001,126.04
2023-01-06,8,14.25,14.45,116.0,1,45.71,0.952,0.011,-0.061,0.02,126.04
2023-01-06,8,13.25,13.45,117.0,1,44.336,0.944,0.013,-0.066,0.022,126.04
2023-01-06,8,12.3,12.5,118.0,3,43.327,0.933,0.015,-0.074,0.026,126.04
2023-01-06,8,11.35,11.55,119.0,21,42.337,0.92,0.017,-0.082,0.03,126.04
2023-01-06,8,10.45,10.6,120.0,140,41.449,0.904,0.021,-0.091,0.034,126.04
2023-01-06,8,9.55,9.7,121.0,0,40.435,0.885,0.024,-0.099,0.039,126.04
2023-01-06,8,8.65,8.8,122.0,42,39.616,0.862,0.028,-0.109,0.044,126.04
2023-01-06,8,7.75,7.9,123.0,246,38.761,0.835,0.032,-0.119,0.05,126.04
2023-01-06,8,6.95,7.1,124.0,141,38.083,0.804,0.036,-0.13,0.055,126.04
2023-01-06,8,6.2,6.25,125.0,1153,37.379,0.767,0.041,-0.14,0.061,126.04
2023-01-06,8,5.4,5.5,126.0,1814,36.663,0.727,0.045,-0.148,0.067,126.04
2023-01-06,8,4.7,4.75,127.0,940,36.01,0.681,0.049,-0.156,0.072,126.04
2023-01-06,8,4.0,4.05,128.0,2540,35.412,0.631,0.053,-0.161,0.076,126.04
2023-01-06,8,3.35,3.45,129.0,3831,34.805,0.577,0.056,-0.164,0.078,126.04
2023-01-06,8,2.82,2.83,130.0,14582,34.142,0.52,0.058,-0.163,0.08,126.04
2023-01-06,8,2.3,2.32,131.0,5700,33.778,0.461,0.059,-0.16,0.08,126.04
2023-01-06,8,1.84,1.85,132.0,7796,33.088,0.401,0.058,-0.152,0.077,126.04
2023-01-06,8,1.44,1.46,133.0,4196,32.527,0.342,0.056,-0.142,0.074,126.04
2023-01-06,8,1.11,1.12,134.0,2921,31.982,0.286,0.053,-0.129,0.068,126.04
2023-01-06,8,0.84,0.85,135.0,13981,31.415,0.233,0.049,-0.113,0.061,126.04
2023-01-06,8,0.62,0.63,136.0,2796,31.163,0.187,0.043,-0.099,0.054,126.04
2023-01-06,8,0.45,0.46,137.0,2496,30.845,0.146,0.037,-0.083,0.046,126.04
2023-01-06,8,0.33,0.34,138.0,2565,30.834,0.114,0.031,-0.07,0.039,126.04
2023-01-06,8,0.24,0.25,139.0,1402,30.89,0.087,0.026,-0.058,0.032,126.04
2023-01-06,8,0.17,0.18,140.0,7624,30.877,0.066,0.021,-0.046,0.026,126.04
2023-01-06,8,0.12,0.13,141.0,266,30.958,0.049,0.016,-0.037,0.02,126.04
2023-01-06,8,0.09,0.1,142.0,725,31.456,0.038,0.013,-0.031,0.017,126.04
2023-01-06,8,0.07,0.08,143.0,251,32.156,0.03,0.011,-0.026,0.014,126.04
2023-01-06,8,0.05,0.06,144.0,106,32.452,0.023,0.008,-0.021,0.011,126.04
